Date,Gold Spot Price,"GARCH(1,1) Volatility"
2017-08-31,1316.199951171875,40.72255140832318
2017-09-30,1281.5,66.91018233380503
2017-10-31,1267.0,47.05369808848126
2017-11-30,1273.199951171875,40.99663971902151
2017-12-31,1306.300048828125,41.86352525502288
2018-01-31,1339.0,59.60302424643782
2018-02-28,1315.5,86.310836558268
2018-03-31,1322.800048828125,69.45435069677008
2018-04-30,1316.199951171875,73.67249509290636
2018-05-31,1300.0999755859375,68.91675104290466
2018-06-30,1251.300048828125,57.258097906195964
2018-07-31,1223.699951171875,42.38808256928681
2018-08-31,1200.300048828125,53.53214389837403
2018-09-30,1191.5,71.03474590736153
2018-10-31,1212.300048828125,79.10131017437892
2018-11-30,1220.199951171875,63.92139709293345
2018-12-31,1278.300048828125,57.28193213664248
2019-01-31,1319.699951171875,44.860835550233325
2019-02-28,1312.800048828125,69.823197077353
2019-03-31,1293.0,66.1005204384294
2019-04-30,1282.800048828125,52.69289393731397
2019-05-31,1305.800048828125,46.29556104607163
2019-06-30,1409.699951171875,59.48577029887847
2019-07-31,1426.0999755859375,149.55588757550498
2019-08-31,1519.0999755859375,168.8567673313129
2019-09-30,1465.699951171875,255.95866203081138
2019-10-31,1511.4000244140625,212.69587268888952
2019-11-30,1465.5999755859375,251.17497110572302
2019-12-31,1519.5,212.1935633553138
2020-01-31,1582.9000244140625,258.6517758281647
2020-02-29,1564.0999755859375,320.3748278086793
2020-03-31,1583.4000244140625,307.11312012079856
2020-04-30,1684.199951171875,323.9158860606362
2020-05-31,1736.9000244140625,418.8389179181678
2020-06-30,1793.0,473.79348382273844
2020-07-31,1962.800048828125,529.5991106529216
2020-08-31,1967.5999755859375,691.964211338855
2020-09-30,1887.5,706.6997392790847
2020-10-31,1877.4000244140625,633.949108820848
2020-11-30,1775.699951171875,619.0293349570312
2020-12-31,1893.0999755859375,524.5528120642333
2021-01-31,1847.300048828125,626.2680777600135
2021-02-28,1728.0999755859375,590.6974893412302
2021-03-31,1713.800048828125,478.8813215507235
2021-04-30,1767.300048828125,456.5925596605489
2021-05-31,1902.5,504.54647443352536
2021-06-30,1770.800048828125,633.897067908632
2021-07-31,1812.5999755859375,521.3888094196313
2021-08-31,1815.0,550.9982167964619
2021-09-30,1755.300048828125,555.2981525178616
2021-10-31,1783.0,500.6509961822024
2021-11-30,1773.5999755859375,522.102824323689
2021-12-31,1827.5,514.9340607715388
2022-01-31,1795.0,564.4173630521127
2022-02-28,1899.4000244140625,537.8250544063477
2022-03-31,1949.199951171875,632.972510004768
2022-04-30,1909.300048828125,685.5465397990891
2022-05-31,1842.699951171875,652.33007787588
2022-06-30,1804.0999755859375,588.5149897518613
2022-07-31,1762.9000244140625,548.0472530710075
2022-08-31,1712.800048828125,507.04614098097113
2022-09-30,1662.4000244140625,457.87053741236554
2022-10-31,1635.9000244140625,407.82380703683356
2022-11-30,1746.0,379.6048111450223
2022-12-31,1819.699951171875,479.92336722619154
2023-01-31,1929.5,554.8949109699616
2023-02-28,1828.9000244140625,662.1805780538814
2023-03-31,1969.0,576.6910575067657
2023-04-30,1989.0999755859375,700.4903793586582
