Date,Gold Spot Price,"GARCH(1,1) Volatility"
2001-12-02,273.8999938964844,978.1612736746649
2001-12-09,273.8999938964844,977.1658500681631
2001-12-16,278.0,977.1658500681631
2001-12-23,278.0,973.0846130008306
2001-12-30,276.5,973.0846130008306
2002-01-06,278.8999938964844,974.5777452056947
2002-01-13,287.3999938964844,972.1887403573654
2002-01-20,283.1000061035156,963.7276861562779
2002-01-27,278.79998779296875,968.0079668799827
2002-02-03,286.0,972.2882884904043
2002-02-10,303.5,965.1212626450828
2002-02-17,298.3999938964844,947.7015629812788
2002-02-24,293.20001220703125,952.7781485390968
2002-03-03,298.0,957.9542665298011
2002-03-10,290.1000061035156,953.1763062191343
2002-03-17,289.8999938964844,961.0400536804789
2002-03-24,297.29998779296875,961.2391486737839
2002-03-31,302.6000061035156,953.8731051714341
2002-04-07,300.1000061035156,948.5974227357253
2002-04-14,302.1000061035156,951.085941492473
2002-04-21,302.29998779296875,949.0951261860453
2002-04-28,311.6000061035156,948.896063014259
2002-05-05,312.20001220703125,939.6387866815578
2002-05-12,311.0,939.0415399763465
2002-05-19,310.6000061035156,940.2360336104762
2002-05-26,320.3999938964844,940.6341882280749
2002-06-02,326.5,930.8792922411106
2002-06-09,324.6000061035156,924.8073844225402
2002-06-16,319.1000061035156,926.6986238527361
2002-06-23,324.6000061035156,932.1732950271532
2002-06-30,313.5,926.6986238527361
2002-07-07,310.8999938964844,937.7475315321965
2002-07-14,315.6000061035156,940.33557984989
2002-07-21,323.8999938964844,935.6571867292812
2002-07-28,303.3999938964844,927.3954112537393
2002-08-04,307.0,947.8011096803248
2002-08-11,314.20001220703125,944.2176449857844
2002-08-18,313.70001220703125,937.050739498252
2002-08-25,306.70001220703125,937.5484393834389
2002-09-01,312.3999938964844,944.5162540845463
2002-09-08,319.8999938964844,938.8424780425422
2002-09-15,316.6000061035156,931.3769901661816
2002-09-22,321.8999938964844,934.6617883096181
2002-09-29,319.70001220703125,929.3861994255789
2002-10-06,322.1000061035156,931.5760511546421
2002-10-13,316.29998779296875,929.1871083417151
2002-10-20,312.70001220703125,934.9604259956016
2002-10-27,313.3999938964844,938.5438396227346
2002-11-03,318.79998779296875,937.8470776159547
2002-11-10,321.29998779296875,932.4719322379067
2002-11-17,320.70001220703125,929.9834424541997
2002-11-24,320.70001220703125,930.580655336508
2002-12-01,316.79998779296875,930.580655336508
2002-12-08,326.29998779296875,934.4627269276674
2002-12-15,333.20001220703125,925.0064749370413
2002-12-22,340.5,918.1382622590704
2002-12-29,349.20001220703125,910.8719647253712
2003-01-05,351.20001220703125,902.2121516006407
2003-01-12,354.5,900.2214002122558
2003-01-19,356.6000061035156,896.9366787605425
2003-01-26,368.20001220703125,894.8463917111602
2003-02-02,368.29998779296875,883.30012946415
2003-02-09,369.8999938964844,883.2006175058646
2003-02-16,351.8999938964844,881.6080323039711
2003-02-23,351.79998779296875,899.5246561189969
2003-03-02,350.20001220703125,899.6241996472111
2003-03-09,350.79998779296875,901.2167755542936
2003-03-16,336.5,900.6195745655585
2003-03-23,326.0,914.8534998313719
2003-03-30,328.70001220703125,925.3050803806897
2003-04-06,325.29998779296875,922.6175119952408
2003-04-13,327.8999938964844,926.0018671461315
2003-04-20,327.20001220703125,923.4138426828056
2003-04-27,333.3999938964844,924.1105982041623
2003-05-04,341.0,917.9392030307079
2003-05-11,348.6000061035156,910.3742736016156
2003-05-18,354.70001220703125,902.8093836408464
