,0
2021-02-28,0.000754528997614079
2021-03-31,0.000568600096428673
2021-04-30,0.00019137082546771822
2021-05-31,0.00019137082546771822
2021-06-30,0.0009387127031117437
2021-07-31,0.00112118398282135
2021-08-31,0.000754528997614079
2021-09-30,0.000754528997614079
2021-10-31,0.0009387127031117437
2021-11-30,0.0009387127031117437
2021-12-31,0.00112118398282135
2022-01-31,0.0041453254915753135
2022-02-28,0.006072415503993511
2022-03-31,0.00795667300238767
2022-04-30,0.01168925243545993
2022-05-31,0.014647039115083693
2022-06-30,0.018992061673736904
2022-07-31,0.023462765920296613
2022-08-31,0.02636570938648708
2022-09-30,0.02807604401858277
2022-10-31,0.03167131661585909
2022-11-30,0.032478396716123514
2022-12-31,0.03259111095002365
2023-01-31,0.033613921214674214
2023-02-28,0.034106595958969255
